Input,Output
ren,men
opan,open
cur,our
beok,book
wht,who
bell,bell
bcuse,house
someine,someone
ruturns,returns
beeter,better
beuty,beauty
hadsome,handsome
happi,happy
belive,believe
diificult,difficult
kep,kept
abot,about
lugh,laugh
leaning,leaning
piple,pipe
diriction,direction
evething,everything
thusand,thousand
resilts,results
kontol,control
Hello,Hello
wht,who
Hello,Hello
wht,who
wht,who
wht,who
kntl,into
well,well
well2,well
Well,well
Well3,well
bqll,ball
houme s,house s
Well3,well
wht,who
tqll,tell
